Date,Lst Trd/Lst Prxx,Time,Trading Day,Closing,Relative Closing,Weekday,Relative Time,,,,,,,,,
9/22/2025 18:00,104-08¼,6:00:00 PM,9/22/2025,104.26,0,Monday,12:00:00 AM,,,,,,,,,
9/22/2025 18:05,104-08¼,6:05:00 PM,9/22/2025,104.26,0,Monday,12:05:00 AM,,,,,,,,,
9/22/2025 18:10,104-08¼,6:10:00 PM,9/22/2025,104.26,0,Monday,12:10:00 AM,,,,,,,,,
9/22/2025 18:20,104-08¼,6:20:00 PM,9/22/2025,104.26,0,Monday,12:20:00 AM,,,,,,,,,
9/22/2025 18:25,104-08¼,6:25:00 PM,9/22/2025,104.26,0,Monday,12:25:00 AM,,,,,,,,,
9/22/2025 18:30,104-08¼,6:30:00 PM,9/22/2025,104.26,0,Monday,12:30:00 AM,,,,,,,,,
9/22/2025 18:35,104-08?,6:35:00 PM,9/22/2025,104.26,0.00390625,Monday,12:35:00 AM,,,,,,,,,
9/22/2025 18:40,104-08¼,6:40:00 PM,9/22/2025,104.26,0,Monday,12:40:00 AM,,,,,,,,,
9/22/2025 18:45,104-08¼,6:45:00 PM,9/22/2025,104.26,0,Monday,12:45:00 AM,,,,,,,,,
9/22/2025 18:50,104-08¼,6:50:00 PM,9/22/2025,104.26,0,Monday,12:50:00 AM,,,,,,,,,
9/22/2025 19:10,104-08¼,7:10:00 PM,9/22/2025,104.26,0,Monday,1:10:00 AM,,,,,,,,,
9/22/2025 19:15,104-08?,7:15:00 PM,9/22/2025,104.25,-0.00390625,Monday,1:15:00 AM,,,,,,,,,
9/22/2025 19:35,104-08¼,7:35:00 PM,9/22/2025,104.26,0,Monday,1:35:00 AM,,,,,,,,,
9/22/2025 19:40,104-08?,7:40:00 PM,9/22/2025,104.25,-0.00390625,Monday,1:40:00 AM,,,,,,,,,
9/22/2025 19:45,104-08?,7:45:00 PM,9/22/2025,104.25,-0.00390625,Monday,1:45:00 AM,,,,,,,,,
9/22/2025 19:50,104-08?,7:50:00 PM,9/22/2025,104.25,-0.00390625,Monday,1:50:00 AM,,,,,,,,,
